Categoría: Todas las categorías

Semana,Ciudadanos: (Andalucía)
2018-01-21,8
2018-01-28,7
2018-02-04,3
2018-02-11,12
2018-02-18,11
2018-02-25,7
2018-03-04,14
2018-03-11,15
2018-03-18,9
2018-03-25,9
2018-04-01,6
2018-04-08,7
2018-04-15,10
2018-04-22,11
2018-04-29,12
2018-05-06,14
2018-05-13,6
2018-05-20,18
2018-05-27,39
2018-06-03,19
2018-06-10,14
2018-06-17,9
2018-06-24,8
2018-07-01,3
2018-07-08,9
2018-07-15,10
2018-07-22,7
2018-07-29,6
2018-08-05,3
2018-08-12,3
2018-08-19,8
2018-08-26,8
2018-09-02,9
2018-09-09,7
2018-09-16,9
2018-09-23,9
2018-09-30,6
2018-10-07,9
2018-10-14,11
2018-10-21,11
2018-10-28,13
2018-11-04,12
2018-11-11,13
2018-11-18,26
2018-11-25,37
2018-12-02,96
2018-12-09,16
2018-12-16,28
2018-12-23,43
2018-12-30,20
2019-01-06,31
2019-01-13,19
2019-01-20,26
2019-01-27,8
2019-02-03,13
2019-02-10,17
2019-02-17,38
2019-02-24,17
2019-03-03,22
2019-03-10,16
2019-03-17,14
2019-03-24,23
2019-03-31,28
2019-04-07,35
2019-04-14,38
2019-04-21,100
2019-04-28,83
2019-05-05,23
2019-05-12,29
2019-05-19,36
2019-05-26,42
2019-06-02,16
2019-06-09,28
2019-06-16,10
2019-06-23,27
2019-06-30,13
2019-07-07,25
2019-07-14,9
2019-07-21,15
2019-07-28,4
2019-08-04,5
2019-08-11,4
2019-08-18,5
2019-08-25,6
2019-09-01,7
2019-09-08,5
2019-09-15,17
2019-09-22,15
2019-09-29,6
2019-10-06,13
2019-10-13,9
2019-10-20,10
2019-10-27,18
2019-11-03,32
2019-11-10,81
2019-11-17,15
2019-11-24,7
2019-12-01,6
2019-12-08,8
2019-12-15,4
2019-12-22,3
2019-12-29,4
2020-01-05,5
2020-01-12,8
2020-01-19,6
2020-01-26,4
2020-02-02,7
2020-02-09,7
2020-02-16,15
2020-02-23,8
2020-03-01,14
2020-03-08,13
2020-03-15,2
2020-03-22,5
2020-03-29,7
2020-04-05,6
2020-04-12,7
2020-04-19,8
2020-04-26,8
2020-05-03,18
2020-05-10,9
2020-05-17,19
2020-05-24,7
2020-05-31,11
2020-06-07,11
2020-06-14,6
2020-06-21,4
2020-06-28,4
2020-07-05,2
2020-07-12,5
2020-07-19,5
2020-07-26,2
2020-08-02,3
2020-08-09,4
2020-08-16,6
2020-08-23,1
2020-08-30,4
2020-09-06,4
2020-09-13,6
2020-09-20,6
2020-09-27,6
2020-10-04,7
2020-10-11,4
2020-10-18,4
2020-10-25,3
2020-11-01,4
2020-11-08,5
2020-11-15,5
2020-11-22,3
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,2
2020-12-27,2
2021-01-03,5
2021-01-10,8
2021-01-17,7
2021-01-24,5
2021-01-31,4
2021-02-07,11
2021-02-14,8
2021-02-21,3
2021-02-28,4
2021-03-07,26
2021-03-14,24
2021-03-21,11
2021-03-28,8
2021-04-04,2
2021-04-11,8
2021-04-18,12
2021-04-25,7
2021-05-02,14
