Categoría: Todas las categorías

Semana,Partido Popular: (Andalucía)
2018-01-21,14
2018-01-28,12
2018-02-04,11
2018-02-11,8
2018-02-18,13
2018-02-25,10
2018-03-04,10
2018-03-11,17
2018-03-18,12
2018-03-25,12
2018-04-01,20
2018-04-08,22
2018-04-15,12
2018-04-22,13
2018-04-29,10
2018-05-06,13
2018-05-13,13
2018-05-20,24
2018-05-27,42
2018-06-03,43
2018-06-10,23
2018-06-17,46
2018-06-24,22
2018-07-01,87
2018-07-08,22
2018-07-15,92
2018-07-22,44
2018-07-29,17
2018-08-05,10
2018-08-12,10
2018-08-19,9
2018-08-26,11
2018-09-02,11
2018-09-09,15
2018-09-16,14
2018-09-23,16
2018-09-30,13
2018-10-07,12
2018-10-14,13
2018-10-21,18
2018-10-28,15
2018-11-04,13
2018-11-11,17
2018-11-18,25
2018-11-25,29
2018-12-02,51
2018-12-09,22
2018-12-16,23
2018-12-23,39
2018-12-30,30
2019-01-06,52
2019-01-13,33
2019-01-20,35
2019-01-27,6
2019-02-03,7
2019-02-10,5
2019-02-17,3
2019-02-24,5
2019-03-03,4
2019-03-10,7
2019-03-17,7
2019-03-24,11
2019-03-31,27
2019-04-07,33
2019-04-14,39
2019-04-21,82
2019-04-28,100
2019-05-05,41
2019-05-12,49
2019-05-19,53
2019-05-26,72
2019-06-02,24
2019-06-09,26
2019-06-16,22
2019-06-23,12
2019-06-30,13
2019-07-07,17
2019-07-14,14
2019-07-21,17
2019-07-28,14
2019-08-04,11
2019-08-11,12
2019-08-18,14
2019-08-25,11
2019-09-01,10
2019-09-08,9
2019-09-15,10
2019-09-22,11
2019-09-29,15
2019-10-06,15
2019-10-13,15
2019-10-20,14
2019-10-27,19
2019-11-03,48
2019-11-10,50
2019-11-17,13
2019-11-24,9
2019-12-01,8
2019-12-08,14
2019-12-15,11
2019-12-22,10
2019-12-29,14
2020-01-05,17
2020-01-12,18
2020-01-19,12
2020-01-26,16
2020-02-02,11
2020-02-09,10
2020-02-16,9
2020-02-23,18
2020-03-01,11
2020-03-08,19
2020-03-15,14
2020-03-22,18
2020-03-29,23
2020-04-05,26
2020-04-12,25
2020-04-19,26
2020-04-26,21
2020-05-03,32
2020-05-10,19
2020-05-17,19
2020-05-24,23
2020-05-31,18
2020-06-07,14
2020-06-14,15
2020-06-21,13
2020-06-28,14
2020-07-05,13
2020-07-12,16
2020-07-19,14
2020-07-26,15
2020-08-02,10
2020-08-09,11
2020-08-16,15
2020-08-23,13
2020-08-30,11
2020-09-06,15
2020-09-13,12
2020-09-20,15
2020-09-27,13
2020-10-04,17
2020-10-11,16
2020-10-18,24
2020-10-25,11
2020-11-01,11
2020-11-08,14
2020-11-15,18
2020-11-22,7
2020-11-29,10
2020-12-06,11
2020-12-13,8
2020-12-20,11
2020-12-27,10
2021-01-03,7
2021-01-10,12
2021-01-17,10
2021-01-24,12
2021-01-31,11
2021-02-07,8
2021-02-14,18
2021-02-21,15
2021-02-28,9
2021-03-07,19
2021-03-14,19
2021-03-21,18
2021-03-28,14
2021-04-04,13
2021-04-11,15
2021-04-18,13
2021-04-25,14
2021-05-02,29
