Categoría: Todas las categorías

Semana,Partido Socialista Obrero Español: (Andalucía)
2018-01-21,8
2018-01-28,11
2018-02-04,9
2018-02-11,6
2018-02-18,7
2018-02-25,9
2018-03-04,7
2018-03-11,12
2018-03-18,13
2018-03-25,6
2018-04-01,6
2018-04-08,10
2018-04-15,13
2018-04-22,7
2018-04-29,8
2018-05-06,6
2018-05-13,11
2018-05-20,12
2018-05-27,29
2018-06-03,47
2018-06-10,13
2018-06-17,10
2018-06-24,7
2018-07-01,11
2018-07-08,8
2018-07-15,12
2018-07-22,10
2018-07-29,6
2018-08-05,9
2018-08-12,5
2018-08-19,11
2018-08-26,6
2018-09-02,8
2018-09-09,7
2018-09-16,9
2018-09-23,13
2018-09-30,10
2018-10-07,7
2018-10-14,9
2018-10-21,16
2018-10-28,8
2018-11-04,12
2018-11-11,14
2018-11-18,14
2018-11-25,26
2018-12-02,49
2018-12-09,9
2018-12-16,10
2018-12-23,17
2018-12-30,11
2019-01-06,11
2019-01-13,9
2019-01-20,9
2019-01-27,13
2019-02-03,7
2019-02-10,17
2019-02-17,19
2019-02-24,22
2019-03-03,16
2019-03-10,17
2019-03-17,21
2019-03-24,22
2019-03-31,16
2019-04-07,31
2019-04-14,34
2019-04-21,53
2019-04-28,100
2019-05-05,42
2019-05-12,38
2019-05-19,57
2019-05-26,64
2019-06-02,20
2019-06-09,20
2019-06-16,21
2019-06-23,10
2019-06-30,17
2019-07-07,11
2019-07-14,20
2019-07-21,37
2019-07-28,11
2019-08-04,7
2019-08-11,10
2019-08-18,8
2019-08-25,8
2019-09-01,12
2019-09-08,13
2019-09-15,19
2019-09-22,12
2019-09-29,14
2019-10-06,15
2019-10-13,16
2019-10-20,16
2019-10-27,21
2019-11-03,31
2019-11-10,92
2019-11-17,28
2019-11-24,13
2019-12-01,13
2019-12-08,8
2019-12-15,15
2019-12-22,11
2019-12-29,36
2020-01-05,33
2020-01-12,18
2020-01-19,14
2020-01-26,9
2020-02-02,12
2020-02-09,13
2020-02-16,10
2020-02-23,7
2020-03-01,8
2020-03-08,7
2020-03-15,5
2020-03-22,14
2020-03-29,19
2020-04-05,17
2020-04-12,20
2020-04-19,18
2020-04-26,15
2020-05-03,22
2020-05-10,11
2020-05-17,19
2020-05-24,15
2020-05-31,9
2020-06-07,11
2020-06-14,13
2020-06-21,14
2020-06-28,10
2020-07-05,8
2020-07-12,10
2020-07-19,10
2020-07-26,7
2020-08-02,9
2020-08-09,4
2020-08-16,7
2020-08-23,8
2020-08-30,9
2020-09-06,9
2020-09-13,8
2020-09-20,11
2020-09-27,9
2020-10-04,7
2020-10-11,4
2020-10-18,10
2020-10-25,6
2020-11-01,6
2020-11-08,11
2020-11-15,16
2020-11-22,10
2020-11-29,11
2020-12-06,7
2020-12-13,8
2020-12-20,7
2020-12-27,4
2021-01-03,7
2021-01-10,7
2021-01-17,8
2021-01-24,8
2021-01-31,7
2021-02-07,12
2021-02-14,9
2021-02-21,8
2021-02-28,8
2021-03-07,13
2021-03-14,12
2021-03-21,9
2021-03-28,5
2021-04-04,9
2021-04-11,6
2021-04-18,6
2021-04-25,9
2021-05-02,19
