Categoría: Todas las categorías

Semana,VOX: (Andalucía)
2018-01-21,<1
2018-01-28,1
2018-02-04,<1
2018-02-11,<1
2018-02-18,<1
2018-02-25,<1
2018-03-04,<1
2018-03-11,1
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,1
2018-04-15,<1
2018-04-22,1
2018-04-29,1
2018-05-06,1
2018-05-13,1
2018-05-20,1
2018-05-27,2
2018-06-03,2
2018-06-10,1
2018-06-17,1
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,2
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,2
2018-08-26,1
2018-09-02,1
2018-09-09,2
2018-09-16,1
2018-09-23,2
2018-09-30,1
2018-10-07,12
2018-10-14,4
2018-10-21,4
2018-10-28,5
2018-11-04,4
2018-11-11,8
2018-11-18,9
2018-11-25,20
2018-12-02,100
2018-12-09,14
2018-12-16,9
2018-12-23,10
2018-12-30,12
2019-01-06,18
2019-01-13,11
2019-01-20,6
2019-01-27,1
2019-02-03,1
2019-02-10,2
2019-02-17,2
2019-02-24,4
2019-03-03,3
2019-03-10,2
2019-03-17,3
2019-03-24,4
2019-03-31,9
2019-04-07,14
2019-04-14,15
2019-04-21,38
2019-04-28,27
2019-05-05,9
2019-05-12,9
2019-05-19,10
2019-05-26,11
2019-06-02,5
2019-06-09,5
2019-06-16,5
2019-06-23,5
2019-06-30,3
2019-07-07,4
2019-07-14,4
2019-07-21,3
2019-07-28,3
2019-08-04,2
2019-08-11,3
2019-08-18,2
2019-08-25,2
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,3
2019-09-29,3
2019-10-06,6
2019-10-13,7
2019-10-20,8
2019-10-27,10
2019-11-03,22
2019-11-10,38
2019-11-17,8
2019-11-24,6
2019-12-01,5
2019-12-08,4
2019-12-15,4
2019-12-22,3
2019-12-29,5
2020-01-05,7
2020-01-12,5
2020-01-19,6
2020-01-26,4
2020-02-02,4
2020-02-09,3
2020-02-16,4
2020-02-23,3
2020-03-01,3
2020-03-08,7
2020-03-15,4
2020-03-22,5
2020-03-29,5
2020-04-05,7
2020-04-12,5
2020-04-19,5
2020-04-26,7
2020-05-03,5
2020-05-10,5
2020-05-17,8
2020-05-24,7
2020-05-31,5
2020-06-07,4
2020-06-14,3
2020-06-21,4
2020-06-28,5
2020-07-05,4
2020-07-12,5
2020-07-19,3
2020-07-26,4
2020-08-02,3
2020-08-09,2
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,3
2020-09-27,5
2020-10-04,3
2020-10-11,4
2020-10-18,8
2020-10-25,4
2020-11-01,3
2020-11-08,2
2020-11-15,3
2020-11-22,2
2020-11-29,3
2020-12-06,2
2020-12-13,2
2020-12-20,3
2020-12-27,3
2021-01-03,2
2021-01-10,2
2021-01-17,2
2021-01-24,3
2021-01-31,3
2021-02-07,3
2021-02-14,5
2021-02-21,3
2021-02-28,4
2021-03-07,3
2021-03-14,3
2021-03-21,3
2021-03-28,3
2021-04-04,5
2021-04-11,3
2021-04-18,6
2021-04-25,5
2021-05-02,5
