Categoría: Todas las categorías

Semana,VOX: (Cataluña)
2018-01-21,1
2018-01-28,1
2018-02-04,1
2018-02-11,1
2018-02-18,4
2018-02-25,1
2018-03-04,2
2018-03-11,1
2018-03-18,2
2018-03-25,3
2018-04-01,3
2018-04-08,3
2018-04-15,2
2018-04-22,1
2018-04-29,1
2018-05-06,2
2018-05-13,4
2018-05-20,5
2018-05-27,4
2018-06-03,4
2018-06-10,3
2018-06-17,2
2018-06-24,2
2018-07-01,2
2018-07-08,3
2018-07-15,1
2018-07-22,2
2018-07-29,3
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,1
2018-09-09,2
2018-09-16,2
2018-09-23,3
2018-09-30,3
2018-10-07,26
2018-10-14,6
2018-10-21,8
2018-10-28,6
2018-11-04,6
2018-11-11,6
2018-11-18,6
2018-11-25,8
2018-12-02,100
2018-12-09,25
2018-12-16,12
2018-12-23,17
2018-12-30,25
2019-01-06,22
2019-01-13,21
2019-01-20,13
2019-01-27,3
2019-02-03,3
2019-02-10,4
2019-02-17,5
2019-02-24,5
2019-03-03,6
2019-03-10,6
2019-03-17,8
2019-03-24,8
2019-03-31,17
2019-04-07,25
2019-04-14,22
2019-04-21,58
2019-04-28,52
2019-05-05,15
2019-05-12,13
2019-05-19,16
2019-05-26,19
2019-06-02,8
2019-06-09,8
2019-06-16,7
2019-06-23,9
2019-06-30,5
2019-07-07,5
2019-07-14,6
2019-07-21,8
2019-07-28,7
2019-08-04,3
2019-08-11,5
2019-08-18,5
2019-08-25,3
2019-09-01,4
2019-09-08,3
2019-09-15,5
2019-09-22,6
2019-09-29,5
2019-10-06,9
2019-10-13,13
2019-10-20,11
2019-10-27,19
2019-11-03,39
2019-11-10,75
2019-11-17,12
2019-11-24,14
2019-12-01,8
2019-12-08,10
2019-12-15,7
2019-12-22,9
2019-12-29,7
2020-01-05,16
2020-01-12,9
2020-01-19,9
2020-01-26,9
2020-02-02,6
2020-02-09,7
2020-02-16,7
2020-02-23,3
2020-03-01,8
2020-03-08,14
2020-03-15,7
2020-03-22,7
2020-03-29,7
2020-04-05,11
2020-04-12,9
2020-04-19,9
2020-04-26,10
2020-05-03,8
2020-05-10,6
2020-05-17,14
2020-05-24,13
2020-05-31,9
2020-06-07,5
2020-06-14,6
2020-06-21,7
2020-06-28,7
2020-07-05,6
2020-07-12,7
2020-07-19,4
2020-07-26,6
2020-08-02,4
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,4
2020-09-06,3
2020-09-13,4
2020-09-20,3
2020-09-27,5
2020-10-04,4
2020-10-11,7
2020-10-18,16
2020-10-25,6
2020-11-01,6
2020-11-08,3
2020-11-15,5
2020-11-22,3
2020-11-29,6
2020-12-06,7
2020-12-13,4
2020-12-20,4
2020-12-27,6
2021-01-03,6
2021-01-10,7
2021-01-17,7
2021-01-24,9
2021-01-31,21
2021-02-07,31
2021-02-14,40
2021-02-21,8
2021-02-28,6
2021-03-07,8
2021-03-14,6
2021-03-21,5
2021-03-28,5
2021-04-04,7
2021-04-11,6
2021-04-18,18
2021-04-25,10
2021-05-02,13
