Categoría: Todas las categorías

Semana,VOX: (España)
2018-01-21,1
2018-01-28,1
2018-02-04,1
2018-02-11,1
2018-02-18,2
2018-02-25,1
2018-03-04,1
2018-03-11,1
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,2
2018-04-15,2
2018-04-22,1
2018-04-29,1
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,3
2018-06-03,4
2018-06-10,2
2018-06-17,2
2018-06-24,1
2018-07-01,2
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,2
2018-08-12,1
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,3
2018-10-07,22
2018-10-14,6
2018-10-21,7
2018-10-28,6
2018-11-04,6
2018-11-11,8
2018-11-18,7
2018-11-25,13
2018-12-02,100
2018-12-09,22
2018-12-16,13
2018-12-23,17
2018-12-30,18
2019-01-06,25
2019-01-13,18
2019-01-20,10
2019-01-27,3
2019-02-03,3
2019-02-10,5
2019-02-17,5
2019-02-24,4
2019-03-03,5
2019-03-10,4
2019-03-17,7
2019-03-24,7
2019-03-31,18
2019-04-07,24
2019-04-14,30
2019-04-21,70
2019-04-28,49
2019-05-05,13
2019-05-12,13
2019-05-19,16
2019-05-26,19
2019-06-02,7
2019-06-09,9
2019-06-16,9
2019-06-23,9
2019-06-30,7
2019-07-07,6
2019-07-14,5
2019-07-21,6
2019-07-28,5
2019-08-04,4
2019-08-11,5
2019-08-18,4
2019-08-25,4
2019-09-01,5
2019-09-08,4
2019-09-15,5
2019-09-22,5
2019-09-29,6
2019-10-06,11
2019-10-13,12
2019-10-20,14
2019-10-27,16
2019-11-03,36
2019-11-10,62
2019-11-17,13
2019-11-24,12
2019-12-01,8
2019-12-08,8
2019-12-15,7
2019-12-22,6
2019-12-29,8
2020-01-05,13
2020-01-12,10
2020-01-19,9
2020-01-26,7
2020-02-02,5
2020-02-09,6
2020-02-16,6
2020-02-23,5
2020-03-01,6
2020-03-08,13
2020-03-15,6
2020-03-22,8
2020-03-29,9
2020-04-05,13
2020-04-12,9
2020-04-19,10
2020-04-26,10
2020-05-03,9
2020-05-10,8
2020-05-17,16
2020-05-24,13
2020-05-31,9
2020-06-07,6
2020-06-14,7
2020-06-21,8
2020-06-28,10
2020-07-05,8
2020-07-12,9
2020-07-19,5
2020-07-26,6
2020-08-02,5
2020-08-09,4
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,6
2020-09-27,7
2020-10-04,6
2020-10-11,8
2020-10-18,16
2020-10-25,7
2020-11-01,5
2020-11-08,4
2020-11-15,5
2020-11-22,4
2020-11-29,5
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,4
2021-01-03,4
2021-01-10,4
2021-01-17,4
2021-01-24,6
2021-01-31,7
2021-02-07,9
2021-02-14,13
2021-02-21,6
2021-02-28,6
2021-03-07,8
2021-03-14,7
2021-03-21,5
2021-03-28,5
2021-04-04,10
2021-04-11,7
2021-04-18,16
2021-04-25,12
2021-05-02,14
